; S-parameter data file sp_sweep.out.
; Sat May 18 12:17:37 2024
; Number of ports is 1
; FundFreq: 1.00000000e+09 
; Small Signal Analysis: psp 
; SweepType: abs 
; portharmsvec= [ 1 ] 

reference resistance 
		 port1 = 50.000000 

format freq:  s1:1(db,rad) 	 
9.93690000e+08:        -16.8916,        0.88645     
9.93700000e+08:        -16.8967,       0.885004     
9.93710000e+08:        -16.9018,       0.883556     
9.93720000e+08:        -16.9069,       0.882106     
9.93730000e+08:         -16.912,       0.880655     
9.93740000e+08:        -16.9171,       0.879203     
9.93750000e+08:        -16.9221,       0.877749     
9.93760000e+08:        -16.9272,       0.876293     
9.93770000e+08:        -16.9323,       0.874836     
9.93780000e+08:        -16.9373,       0.873377     
9.93790000e+08:        -16.9424,       0.871917     
9.93800000e+08:        -16.9474,       0.870455     
9.93810000e+08:        -16.9525,       0.868992     
9.93820000e+08:        -16.9575,       0.867527     
9.93830000e+08:        -16.9625,       0.866061     
9.93840000e+08:        -16.9676,       0.864593     
9.93850000e+08:        -16.9726,       0.863123     
9.93860000e+08:        -16.9776,       0.861652     
9.93870000e+08:        -16.9826,        0.86018     
9.93880000e+08:        -16.9876,       0.858706     
9.93890000e+08:        -16.9927,        0.85723     
9.93900000e+08:        -16.9977,       0.855753     
9.93910000e+08:        -17.0027,       0.854275     
9.93920000e+08:        -17.0077,       0.852795     
9.93930000e+08:        -17.0126,       0.851313     
9.93940000e+08:        -17.0176,        0.84983     
9.93950000e+08:        -17.0226,       0.848345     
9.93960000e+08:        -17.0276,       0.846858     
9.93970000e+08:        -17.0325,       0.845371     
9.93980000e+08:        -17.0375,       0.843881     
9.93990000e+08:        -17.0425,        0.84239     
9.94000000e+08:        -17.0474,       0.840898     
9.94010000e+08:        -17.0524,       0.839404     
9.94020000e+08:        -17.0573,       0.837908     
9.94030000e+08:        -17.0622,       0.836411     
9.94040000e+08:        -17.0672,       0.834913     
9.94050000e+08:        -17.0721,       0.833412     
9.94060000e+08:         -17.077,       0.831911     
9.94070000e+08:        -17.0819,       0.830407     
9.94080000e+08:        -17.0868,       0.828903     
9.94090000e+08:        -17.0917,       0.827396     
9.94100000e+08:        -17.0966,       0.825888     
9.94110000e+08:        -17.1015,       0.824379     
9.94120000e+08:        -17.1064,       0.822868     
9.94130000e+08:        -17.1113,       0.821356     
9.94140000e+08:        -17.1162,       0.819842     
9.94150000e+08:        -17.1211,       0.818326     
9.94160000e+08:        -17.1259,       0.816809     
9.94170000e+08:        -17.1308,        0.81529     
9.94180000e+08:        -17.1356,        0.81377     
9.94190000e+08:        -17.1405,       0.812248     
9.94200000e+08:        -17.1453,       0.810725     
9.94210000e+08:        -17.1502,         0.8092     
9.94220000e+08:         -17.155,       0.807674     
9.94230000e+08:        -17.1598,       0.806146     
9.94240000e+08:        -17.1646,       0.804616     
9.94250000e+08:        -17.1694,       0.803085     
9.94260000e+08:        -17.1742,       0.801553     
9.94270000e+08:         -17.179,       0.800019     
9.94280000e+08:        -17.1838,       0.798483     
9.94290000e+08:        -17.1886,       0.796946     
9.94300000e+08:        -17.1934,       0.795407     
9.94310000e+08:        -17.1982,       0.793867     
9.94320000e+08:         -17.203,       0.792325     
9.94330000e+08:        -17.2077,       0.790782     
9.94340000e+08:        -17.2125,       0.789237     
9.94350000e+08:        -17.2172,       0.787691     
9.94360000e+08:         -17.222,       0.786143     
9.94370000e+08:        -17.2267,       0.784594     
9.94380000e+08:        -17.2314,       0.783043     
9.94390000e+08:        -17.2361,        0.78149     
9.94400000e+08:        -17.2409,       0.779936     
9.94410000e+08:        -17.2456,        0.77838     
9.94420000e+08:        -17.2503,       0.776823     
9.94430000e+08:         -17.255,       0.775265     
9.94440000e+08:        -17.2597,       0.773704     
9.94450000e+08:        -17.2643,       0.772143     
9.94460000e+08:         -17.269,       0.770579     
9.94470000e+08:        -17.2737,       0.769015     
9.94480000e+08:        -17.2783,       0.767448     
9.94490000e+08:         -17.283,        0.76588     
9.94500000e+08:        -17.2877,       0.764311     
9.94510000e+08:        -17.2923,        0.76274     
9.94520000e+08:        -17.2969,       0.761168     
9.94530000e+08:        -17.3016,       0.759594     
9.94540000e+08:        -17.3062,       0.758018     
9.94550000e+08:        -17.3108,       0.756441     
9.94560000e+08:        -17.3154,       0.754862     
9.94570000e+08:          -17.32,       0.753282     
9.94580000e+08:        -17.3246,       0.751701     
9.94590000e+08:        -17.3292,       0.750118     
9.94600000e+08:        -17.3337,       0.748533     
9.94610000e+08:        -17.3383,       0.746947     
9.94620000e+08:        -17.3429,       0.745359     
9.94630000e+08:        -17.3474,        0.74377     
9.94640000e+08:         -17.352,       0.742179     
9.94650000e+08:        -17.3565,       0.740587     
9.94660000e+08:         -17.361,       0.738993     
9.94670000e+08:        -17.3655,       0.737397     
9.94680000e+08:        -17.3701,         0.7358     
9.94690000e+08:        -17.3746,       0.734202     
9.94700000e+08:        -17.3791,       0.732602     
9.94710000e+08:        -17.3836,       0.731001     
9.94720000e+08:         -17.388,       0.729398     
9.94730000e+08:        -17.3925,       0.727793     
9.94740000e+08:         -17.397,       0.726187     
9.94750000e+08:        -17.4014,        0.72458     
9.94760000e+08:        -17.4059,       0.722971     
9.94770000e+08:        -17.4103,        0.72136     
9.94780000e+08:        -17.4148,       0.719748     
9.94790000e+08:        -17.4192,       0.718135     
9.94800000e+08:        -17.4236,        0.71652     
9.94810000e+08:         -17.428,       0.714903     
9.94820000e+08:        -17.4324,       0.713285     
9.94830000e+08:        -17.4368,       0.711666     
9.94840000e+08:        -17.4412,       0.710045     
9.94850000e+08:        -17.4456,       0.708422     
9.94860000e+08:        -17.4499,       0.706798     
9.94870000e+08:        -17.4543,       0.705172     
9.94880000e+08:        -17.4586,       0.703545     
9.94890000e+08:         -17.463,       0.701917     
9.94900000e+08:        -17.4673,       0.700287     
9.94910000e+08:        -17.4716,       0.698655     
9.94920000e+08:         -17.476,       0.697022     
9.94930000e+08:        -17.4803,       0.695388     
9.94940000e+08:        -17.4846,       0.693752     
9.94950000e+08:        -17.4889,       0.692114     
9.94960000e+08:        -17.4931,       0.690475     
9.94970000e+08:        -17.4974,       0.688835     
9.94980000e+08:        -17.5017,       0.687193     
9.94990000e+08:        -17.5059,       0.685549     
9.95000000e+08:        -17.5102,       0.683904     
9.95010000e+08:        -17.5144,       0.682258     
9.95020000e+08:        -17.5186,        0.68061     
9.95030000e+08:        -17.5228,        0.67896     
9.95040000e+08:        -17.5271,        0.67731     
9.95050000e+08:        -17.5313,       0.675657     
9.95060000e+08:        -17.5354,       0.674003     
9.95070000e+08:        -17.5396,       0.672348     
9.95080000e+08:        -17.5438,       0.670691     
9.95090000e+08:         -17.548,       0.669033     
9.95100000e+08:        -17.5521,       0.667373     
9.95110000e+08:        -17.5562,       0.665712     
9.95120000e+08:        -17.5604,        0.66405     
9.95130000e+08:        -17.5645,       0.662386     
9.95140000e+08:        -17.5686,        0.66072     
9.95150000e+08:        -17.5727,       0.659053     
9.95160000e+08:        -17.5768,       0.657385     
9.95170000e+08:        -17.5809,       0.655715     
9.95180000e+08:         -17.585,       0.654043     
9.95190000e+08:         -17.589,        0.65237     
9.95200000e+08:        -17.5931,       0.650696     
9.95210000e+08:        -17.5971,       0.649021     
9.95220000e+08:        -17.6012,       0.647343     
9.95230000e+08:        -17.6052,       0.645665     
9.95240000e+08:        -17.6092,       0.643985     
9.95250000e+08:        -17.6132,       0.642303     
9.95260000e+08:        -17.6172,        0.64062     
9.95270000e+08:        -17.6212,       0.638936     
9.95280000e+08:        -17.6252,        0.63725     
9.95290000e+08:        -17.6291,       0.635563     
9.95300000e+08:        -17.6331,       0.633874     
9.95310000e+08:         -17.637,       0.632184     
9.95320000e+08:         -17.641,       0.630493     
9.95330000e+08:        -17.6449,         0.6288     
9.95340000e+08:        -17.6488,       0.627105     
9.95350000e+08:        -17.6527,        0.62541     
9.95360000e+08:        -17.6566,       0.623713     
9.95370000e+08:        -17.6605,       0.622014     
9.95380000e+08:        -17.6643,       0.620314     
9.95390000e+08:        -17.6682,       0.618613     
9.95400000e+08:         -17.672,        0.61691     
9.95410000e+08:        -17.6759,       0.615206     
9.95420000e+08:        -17.6797,         0.6135     
9.95430000e+08:        -17.6835,       0.611793     
9.95440000e+08:        -17.6873,       0.610084     
9.95450000e+08:        -17.6911,       0.608375     
9.95460000e+08:        -17.6949,       0.606663     
9.95470000e+08:        -17.6987,       0.604951     
9.95480000e+08:        -17.7024,       0.603237     
9.95490000e+08:        -17.7062,       0.601521     
9.95500000e+08:        -17.7099,       0.599805     
9.95510000e+08:        -17.7136,       0.598087     
9.95520000e+08:        -17.7173,       0.596367     
9.95530000e+08:         -17.721,       0.594646     
9.95540000e+08:        -17.7247,       0.592924     
9.95550000e+08:        -17.7284,         0.5912     
9.95560000e+08:        -17.7321,       0.589475     
9.95570000e+08:        -17.7357,       0.587749     
9.95580000e+08:        -17.7394,       0.586021     
9.95590000e+08:         -17.743,       0.584292     
9.95600000e+08:        -17.7467,       0.582562     
9.95610000e+08:        -17.7503,        0.58083     
9.95620000e+08:        -17.7539,       0.579097     
9.95630000e+08:        -17.7575,       0.577362     
9.95640000e+08:         -17.761,       0.575627     
9.95650000e+08:        -17.7646,       0.573889     
9.95660000e+08:        -17.7681,       0.572151     
9.95670000e+08:        -17.7717,       0.570411     
9.95680000e+08:        -17.7752,        0.56867     
9.95690000e+08:        -17.7787,       0.566927     
9.95700000e+08:        -17.7822,       0.565184     
9.95710000e+08:        -17.7857,       0.563438     
9.95720000e+08:        -17.7892,       0.561692     
9.95730000e+08:        -17.7927,       0.559944     
9.95740000e+08:        -17.7961,       0.558195     
9.95750000e+08:        -17.7996,       0.556445     
9.95760000e+08:         -17.803,       0.554693     
9.95770000e+08:        -17.8064,        0.55294     
9.95780000e+08:        -17.8098,       0.551186     
9.95790000e+08:        -17.8132,        0.54943     
